s_code,s_name,d_name,c_name,enroll12,num_tst_takr,pct_tst_takr
135145.0,Compass Charter Schools of Los Angeles,Acton-Agua Dulce Unified,Los Angeles,45.0,1.0,0.022
1030840.0,Carter G. Woodson Public Charter,Fresno Unified,Fresno,135.0,3.0,0.022
116400.0,Mira Monte High,Kern High,Kern,563.0,13.0,0.023
4531901.0,Central Valley High,Gateway Unified,Shasta,133.0,3.0,0.023
127191.0,California Virtual Academy @ San Joaquin,New Jerusalem Elementary,San Joaquin,133.0,3.0,0.023
1996537.0,Desert Sands Charter,Antelope Valley Union High,Los Angeles,88.0,2.0,0.023
132126.0,Bert Corona Charter High,Los Angeles Unified,Los Angeles,43.0,1.0,0.023
124834.0,Sierra Academy of Expeditionary Learning,Nevada Joint Union High,Nevada,44.0,1.0,0.023
3330909.0,Horizon,Desert Sands Unified,Riverside,41.0,1.0,0.024
129536.0,Boyle Heights STEM High,Los Angeles Unified,Los Angeles,42.0,1.0,0.024
5031380.0,Grace M. Davis High,Modesto City High,Stanislaus,452.0,11.0,0.024
138362.0,Olive Grove Charter - Orcutt/Santa Maria,SBE - Olive Grove Charter - Orcutt/Santa Maria,Santa Barbara,42.0,1.0,0.024
3630274.0,Silver Valley High,Silver Valley Unified,San Bernardino,84.0,2.0,0.024
111799.0,East Bay Arts High,San Lorenzo Unified,Alameda,42.0,1.0,0.024
3430501.0,Walnutwood High (Independent Study),Folsom-Cordova Unified,Sacramento,79.0,2.0,0.025
833004.0,Del Norte High,Del Norte County Unified,Del Norte,203.0,5.0,0.025
1732304.0,Clear Lake High,Lakeport Unified,Lake,80.0,2.0,0.025
1030766.0,Hallmark Charter,Sanger Unified,Fresno,40.0,1.0,0.025
3130168.0,Horizon Charter,Western Placer Unified,Placer,273.0,7.0,0.026
4333639.0,James Lick High,East Side Union High,Santa Clara,267.0,7.0,0.026
118018.0,Clovis Online Charter,Clovis Unified,Fresno,114.0,3.0,0.026
112706.0,California Virtual Academy @ Los Angeles,West Covina Unified,Los Angeles,329.0,9.0,0.027
1933118.0,John C. Fremont Senior High,Los Angeles Unified,Los Angeles,402.0,11.0,0.027
3035706.0,Rancho Alamitos High,Garden Grove Unified,Orange,424.0,12.0,0.028
122382.0,Engineering and Technology Academy at Esteban E. Torres High No. 3,Los Angeles Unified,Los Angeles,72.0,2.0,0.028
1036672.0,Selma High,Selma Unified,Fresno,425.0,12.0,0.028
5030317.0,Connecting Waters Charter,Waterford Unified,Stanislaus,177.0,5.0,0.028
112698.0,California Virtual Academy at Kings,Armona Union Elementary,Kings,35.0,1.0,0.029
3636743.0,Twentynine Palms High,Morongo Unified,San Bernardino,172.0,5.0,0.029
107516.0,Summit Leadership Academy-High Desert,Hesperia Unified,San Bernardino,34.0,1.0,0.029
3030186.0,Monte Vista High,Newport-Mesa Unified,Orange,35.0,1.0,0.029
121715.0,Paradise eLearning Academy,Paradise Unified,Butte,34.0,1.0,0.029
3830197.0,Independence High,San Francisco Unified,San Francisco,68.0,2.0,0.029
128280.0,Ukiah Independent Study Academy,Ukiah Unified,Mendocino,34.0,1.0,0.029
4030250.0,San Luis Obispo County Community,San Luis Obispo County Office of Education,San Luis Obispo,33.0,1.0,0.03
126722.0,East Palo Alto Academy,Sequoia Union High,San Mateo,65.0,2.0,0.031
125765.0,Millennium Charter High,Monterey County Office of Education,Monterey,32.0,1.0,0.031
1534957.0,Rosamond High Early College Campus,Southern Kern Unified,Kern,194.0,6.0,0.031
1934082.0,Herbert Hoover High,Glendale Unified,Los Angeles,351.0,11.0,0.031
4330015.0,Yerba Buena High,East Side Union High,Santa Clara,420.0,13.0,0.031
127084.0,Compass Charter Schools of San Diego,Mountain Empire Unified,San Diego,32.0,1.0,0.031
3332350.0,Elsinore High,Lake Elsinore Unified,Riverside,437.0,14.0,0.032
117804.0,Ceiba College Preparatory Academy,Pajaro Valley Unified,Santa Cruz,63.0,2.0,0.032
124404.0,Cesar E. Chavez Learning Academies-Technology Preparatory Academy,Los Angeles Unified,Los Angeles,62.0,2.0,0.032
930214.0,EDUHSD Virtual Academy at Shenandoah,El Dorado Union High,El Dorado,31.0,1.0,0.032
127720.0,Rivercrest Preparatory,Jurupa Unified,Riverside,31.0,1.0,0.032
4838504.0,Vallejo High,Vallejo City Unified,Solano,361.0,12.0,0.033
4532750.0,Enterprise High,Shasta Union High,Shasta,302.0,10.0,0.033
3731221.0,Pacific View Charter,Oceanside Unified,San Diego,153.0,5.0,0.033
1932086.0,Covina High,Covina-Valley Unified,Los Angeles,270.0,9.0,0.033
123224.0,San Diego Virtual,Mountain Empire Unified,San Diego,153.0,5.0,0.033
131573.0,Burbank Unified Independent Learning Academy (BUILA),Burbank Unified,Los Angeles,29.0,1.0,0.034
4030102.0,Atascadero Choices in Education Academy (ACE),Atascadero Unified,San Luis Obispo,29.0,1.0,0.034
114546.0,School of Engineering & Sciences,Sacramento City Unified,Sacramento,58.0,2.0,0.034
3638616.0,Yucca Valley High,Morongo Unified,San Bernardino,314.0,11.0,0.035
119685.0,New Open World Academy K-12,Los Angeles Unified,Los Angeles,85.0,3.0,0.035
5030135.0,Peter Johansen High,Modesto City High,Stanislaus,405.0,14.0,0.035
109991.0,Crescent View West Public Charter,Fresno County Office of Education,Fresno,140.0,5.0,0.036
126755.0,Humphreys College Academy of Business Law and Education,New Jerusalem Elementary,San Joaquin,55.0,2.0,0.036
4430229.0,Pacific Coast Charter,Pajaro Valley Unified,Santa Cruz,56.0,2.0,0.036
5432414.0,Lindsay Senior High,Lindsay Unified,Tulare,250.0,9.0,0.036
2332260.0,Laytonville High,Laytonville Unified,Mendocino,27.0,1.0,0.037
114512.0,California City High,Mojave Unified,Kern,107.0,4.0,0.037
1935352.0,Los Angeles Senior High,Los Angeles Unified,Los Angeles,242.0,9.0,0.037
112052.0,Panorama High,Los Angeles Unified,Los Angeles,269.0,10.0,0.037
122580.0,Rio Valley Charter,Lodi Unified,San Joaquin,136.0,5.0,0.037
