s_code,s_name,d_name,c_name,enroll12,num_tst_takr,avg_scr_read,avg_scr_eng,avg_scr_math,avg_scr_sci,num_ge21,pct_ge21,pct_tst_takr
130096.0,Foothill High,Pleasanton Unified,Alameda,498.0,196.0,28.0,28.0,27.0,27.0,176.0,0.898,0.394
111195.0,Classical Academy High,Escondido Union High,San Diego,298.0,69.0,27.0,27.0,26.0,26.0,62.0,0.8986,0.232
1995810.0,Gabrielino High,San Gabriel Unified,Los Angeles,433.0,69.0,28.0,28.0,26.0,26.0,62.0,0.8986,0.159
1230705.0,Arcata High,Northern Humboldt Union High,Humboldt,210.0,40.0,28.0,26.0,25.0,25.0,36.0,0.9,0.19
3030723.0,OCSA,Santa Ana Unified,Orange,379.0,190.0,29.0,29.0,26.0,26.0,171.0,0.9,0.501
930081.0,Oak Ridge High,El Dorado Union High,El Dorado,592.0,201.0,26.0,26.0,26.0,26.0,181.0,0.9005,0.34
3030640.0,Brea-Olinda High,Brea-Olinda Unified,Orange,476.0,121.0,26.0,26.0,26.0,26.0,109.0,0.9007999999999999,0.254
4332904.0,Henry M. Gunn High,Palo Alto Unified,Santa Clara,501.0,223.0,29.0,29.0,28.0,28.0,201.0,0.9013,0.445
3730884.0,Scripps Ranch High,San Diego Unified,San Diego,542.0,203.0,28.0,28.0,27.0,27.0,183.0,0.9015000000000001,0.375
4330239.0,Leigh High,Campbell Union High,Santa Clara,415.0,133.0,28.0,28.0,27.0,27.0,120.0,0.9023,0.32
4333522.0,Leland High,San Jose Unified,Santa Clara,454.0,164.0,29.0,30.0,28.0,28.0,148.0,0.9024,0.361
3033206.0,Laguna Beach High,Laguna Beach Unified,Orange,294.0,165.0,26.0,27.0,26.0,26.0,149.0,0.903,0.561
2132587.0,Redwood High,Tamalpais Union High,Marin,447.0,176.0,28.0,28.0,27.0,27.0,159.0,0.9034,0.394
1937754.0,San Marino High,San Marino Unified,Los Angeles,269.0,95.0,28.0,29.0,27.0,27.0,86.0,0.9053,0.353
3038569.0,Dana Hills High,Capistrano Unified,Orange,669.0,213.0,27.0,27.0,26.0,26.0,193.0,0.9061,0.318
131359.0,Riverside STEM Academy,Riverside Unified,Riverside,53.0,22.0,29.0,28.0,25.0,25.0,20.0,0.9091,0.415
3731528.0,Westview High,Poway Unified,San Diego,596.0,212.0,28.0,29.0,27.0,27.0,193.0,0.9104000000000001,0.356
4334116.0,Los Altos High,Mountain View-Los Altos Union High,Santa Clara,525.0,168.0,29.0,29.0,28.0,28.0,153.0,0.9107,0.32
