s_code,s_name,d_name,c_name,enroll12,num_tst_takr12,pct_tst_takr
3232006.0,Chester Junior/Senior High,Plumas Unified,Plumas,22.0,8.0,0.36363636363636365
4430245.0,Diamond Technology Institute,Pajaro Valley Unified,Santa Cruz,11.0,4.0,0.36363636363636365
2333649.0,Point Arena High,Point Arena Joint Union High,Mendocino,30.0,11.0,0.36666666666666664
120410.0,iHigh Virtual Academy,San Diego Unified,San Diego,19.0,7.0,0.3684210526315789
114314.0,Bitney Prep High,Nevada County Office of Education,Nevada,27.0,10.0,0.37037037037037035
121509.0,Ipakanni Early College Charter,Feather Falls Union Elementary,Butte,16.0,6.0,0.375
5235106.0,Los Molinos High,Los Molinos Unified,Tehama,37.0,14.0,0.3783783783783784
4135331.0,Pescadero High,La Honda-Pescadero Unified,San Mateo,21.0,8.0,0.38095238095238093
3730447.0,Borrego Springs High,Borrego Springs Unified,San Diego,36.0,14.0,0.3888888888888889
122713.0,River Oaks Academy,Ventura County Office of Education,Ventura,23.0,9.0,0.391304347826087
130179.0,Street Academy (Alternative),Oakland Unified,Alameda,23.0,9.0,0.391304347826087
6119291.0,Eleanor Roosevelt Community Learning Center,Tulare County Office of Education,Tulare,5.0,2.0,0.4
3731536.0,Grossmont Middle College High,Grossmont Union High,San Diego,35.0,14.0,0.4
3733219.0,Julian High,Julian Union High,San Diego,20.0,8.0,0.4
2330041.0,Potter Valley High,Potter Valley Community Unified,Mendocino,15.0,6.0,0.4
130765.0,Magnolia Science Academy Santa Ana,SBE - Magnolia Science Academy Santa Ana,Orange,34.0,14.0,0.4117647058823529
1931450.0,Jack London Continuation,Los Angeles Unified,Los Angeles,31.0,14.0,0.45161290322580644
132571.0,Konocti Education Center,Konocti Unified,Lake,22.0,10.0,0.45454545454545453
5430301.0,Alpaugh -Senior High,Alpaugh Unified,Tulare,24.0,11.0,0.4583333333333333
2633006.0,Coleville High,Eastern Sierra Unified,Mono,17.0,8.0,0.47058823529411764
111484.0,New Village Girls Academy,Los Angeles Unified,Los Angeles,19.0,9.0,0.47368421052631576
1931716.0,Lake Balboa College Preparatory Magnet K-12,Los Angeles Unified,Los Angeles,26.0,13.0,0.5
5337423.0,Southern Trinity High,Southern Trinity Joint Unified,Trinity,4.0,2.0,0.5
1831601.0,Big Valley Jr. Sr. High,Big Valley Joint Unified,Lassen,20.0,10.0,0.5
129411.0,SCALE Leadership Academy,Acton-Agua Dulce Unified,Los Angeles,12.0,6.0,0.5
1931393.0,Highland Park Continuation,Los Angeles Unified,Los Angeles,15.0,8.0,0.5333333333333333
118174.0,OUSD Home Sch,Orange Unified,Orange,26.0,14.0,0.5384615384615384
3730975.0,Warner Junior/Senior High,Warner Unified,San Diego,11.0,6.0,0.5454545454545454
5530076.0,Tioga High,Big Oak Flat-Groveland Unified,Tuolumne,14.0,8.0,0.5714285714285714
2635001.0,Lee Vining High,Eastern Sierra Unified,Mono,5.0,3.0,0.6
129981.0,Geyserville New Tech Academy,Geyserville Unified,Sonoma,10.0,6.0,0.6
1838507.0,Westwood High,Westwood Unified,Lassen,10.0,6.0,0.6
130286.0,Millennium High Alternative,Piedmont City Unified,Alameda,21.0,14.0,0.6666666666666666
136101.0,Connecting Waters Charter - East Bay,Alameda County Office of Education,Alameda,9.0,6.0,0.6666666666666666
119222.0,Nea Community Learning Center,Alameda Unified,Alameda,18.0,12.0,0.6666666666666666
127860.0,Alpha Charter,Elverta Joint Elementary,Sacramento,10.0,7.0,0.7
